Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Shalai and Hallar,MOC,March of the Machine Commander,10,foil,mythic,1,81396,80804f25-efc3-44a2-bbae-9a97fec98009,4.22,false,false,near_mint,fr,EUR
"Slurrk, All-Ingesting",MOC,March of the Machine Commander,312,normal,uncommon,1,81771,8107fd21-7d34-44ce-afb8-920eab3b924e,0.08,false,false,near_mint,fr,EUR
Sol Ring,MOC,March of the Machine Commander,381,normal,uncommon,1,82037,eca9ae7b-a6d9-43ea-92d4-0110fd6643a7,0.77,false,false,near_mint,fr,EUR
Strionic Resonator,MOC,March of the Machine Commander,384,normal,rare,1,81908,b9edb215-f967-4968-905e-d1dc3b5d3424,2.62,false,false,near_mint,fr,EUR
Sungrass Prairie,MOC,March of the Machine Commander,427,normal,rare,1,81960,cdc9ad2c-a0a9-4b38-8941-c300751ce23d,0.21,false,false,near_mint,fr,EUR
Sunscorch Regent,MOC,March of the Machine Commander,209,normal,rare,1,81994,da6b530c-5a56-4dc1-8d36-6ed8d2c158a9,0.69,false,false,near_mint,fr,EUR
Swords to Plowshares,MOC,March of the Machine Commander,211,normal,uncommon,1,81777,81c31217-7919-40fd-97e7-88431b7bd277,0.98,false,false,near_mint,fr,EUR
Temple of Abandon,MOC,March of the Machine Commander,430,normal,rare,1,81487,0203d093-a060-47d7-876b-e7ce8e444bc6,0.16,false,false,near_mint,fr,EUR
Temple of Plenty,MOC,March of the Machine Commander,435,normal,rare,1,81673,52f06041-0dce-45b2-bb05-833c0ebb438f,0.22,false,false,near_mint,fr,EUR
Temple of the False God,MOC,March of the Machine Commander,437,normal,uncommon,1,81913,bb218ee0-24fd-4d23-8135-468f3e4a41be,0.14,false,false,near_mint,fr,EUR
Temple of Triumph,MOC,March of the Machine Commander,438,normal,rare,1,81664,4f7eb4fa-8950-42e5-8695-b9c3bba91f7d,0.19,false,false,near_mint,fr,EUR
Terramorphic Expanse,MOC,March of the Machine Commander,439,normal,common,1,81721,66639e5d-8a74-4d58-a77d-0bb9d6d62bb1,0.11,false,false,near_mint,fr,EUR
Together Forever,MOC,March of the Machine Commander,212,normal,rare,1,81580,2b22e344-97ae-4e25-9bf9-004ac30c2fd6,0.24,false,false,near_mint,fr,EUR
Triskelion,MOC,March of the Machine Commander,387,normal,rare,1,81714,63349fa3-4462-413c-bd96-bbc1049165a0,0.3,false,false,near_mint,fr,EUR
Uncivil Unrest,MOC,March of the Machine Commander,35,normal,rare,1,81324,31afae93-d3c7-49c3-9f00-2cd9621e0ff8,6.6,false,false,near_mint,fr,EUR
Wood Elves,MOC,March of the Machine Commander,316,normal,common,1,81671,527cf39d-29d1-4c19-9c49-ebf611ca15d5,0.32,false,false,near_mint,fr,EUR
